project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2007384,03-10-2022 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2022-03-10 00:00:00,2022-04-01 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-19-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-06-19 00:00:00,2024-07-13 00:00:00,None,,None,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-25-2023 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2023-07-25 00:00:00,2023-11-30 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,04-30-2024 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2024-04-30 00:00:00,2024-05-22 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-05-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-06-05 00:00:00,2024-06-19 00:00:00,None,,None,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-03-2024 Camera 3,Temple Forest Observatory,-75.195362,40.163652,2024-07-03 00:00:00,2024-07-17 00:00:00,None,,Other,,2103920,Camera 3,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,05-25-2022 Camera 4,Temple Forest Observatory,-75.195362,40.163652,2022-05-25 00:00:00,2022-06-15 00:00:00,None,,Other,Fallen Log going diagonally form top right to middle,2103921,Camera 4,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,09-13-2021 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2021-09-13 00:00:00,2021-09-19 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,06-15-2022 Camera 1,Temple Forest Observatory,-75.195362,40.163652,2022-06-15 00:00:00,2022-06-22 00:00:00,None,,Other,Tree in center of view,2103441,Camera 1,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007384,07-03-2024 Camera 2,Temple Forest Observatory,-75.195362,40.163652,2024-07-03 00:00:00,2024-07-17 00:00:00,None,,Other,,2103474,Camera 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
